2024-10-18T21:00:00,0,3.6
2024-10-18T22:00:00,0,7.2
2024-10-18T23:00:00,1,3.6
2024-10-19T00:00:00,-2,7.2
2024-10-19T01:00:00,-1,3.6
2024-10-19T02:00:00,1.7,1.9
2024-10-19T03:00:00,-1,0
2024-10-19T04:00:00,-1,3.6
2024-10-19T05:00:00,0.7,3.7
2024-10-19T06:00:00,-1,7.2
2024-10-19T07:00:00,-2,7.2
2024-10-19T08:00:00,-0.4,0.2
2024-10-19T09:00:00,3,3.6
2024-10-19T10:00:00,6,0
2024-10-19T11:00:00,8.3,3.7
2024-10-19T12:00:00,11,7.2
2024-10-19T13:00:00,11,7.2
2024-10-19T14:00:00,11.6,7.3
2024-10-19T15:00:00,12,10.8
2024-10-19T16:00:00,11,7.2
2024-10-19T17:00:00,10.3,5.5
2024-10-19T18:00:00,9,7.2
2024-10-19T19:00:00,4,7.2
2024-10-19T20:00:00,4.8,1.8
2024-10-19T21:00:00,2,7.2
2024-10-19T22:00:00,0,10.8
2024-10-19T23:00:00,-0.8,3.6
2024-10-20T00:00:00,-4,7.2
2024-10-20T01:00:00,-4,7.2
2024-10-20T02:00:00,-3.4,3.6
2024-10-20T03:00:00,-5,0
2024-10-20T04:00:00,-6,7.2
2024-10-20T05:00:00,-3.7,0.2
2024-10-20T06:00:00,-6,3.6
2024-10-20T07:00:00,-6,3.6
2024-10-20T08:00:00,-0.8,3.7
2024-10-20T09:00:00,1,7.2
2024-10-20T10:00:00,6,7.2
2024-10-20T11:00:00,8.6,7.2
2024-10-20T12:00:00,11,10.8
2024-10-20T13:00:00,12,18
2024-10-20T14:00:00,12.5,8.9
2024-10-20T15:00:00,12,14.4
2024-10-20T16:00:00,12,10.8
2024-10-20T17:00:00,10.1,5.2
2024-10-20T18:00:00,10,7.2
2024-10-20T19:00:00,9,10.8
2024-10-20T20:00:00,7.9,3.5
2024-10-20T21:00:00,5,3.6
2024-10-20T22:00:00,5,7.2
2024-10-20T23:00:00,6.4,1.9
2024-10-21T00:00:00,5,7.2
2024-10-21T01:00:00,5,3.6
2024-10-21T02:00:00,5.2,1.9
2024-10-21T03:00:00,4,3.6
2024-10-21T04:00:00,4,7.2
2024-10-21T05:00:00,5,7.2
2024-10-21T06:00:00,4,7.2
2024-10-21T07:00:00,5,7.2
2024-10-21T08:00:00,6.5,3.7
2024-10-21T09:00:00,7,7.2
2024-10-21T10:00:00,7,10.8
2024-10-21T11:00:00,7.6,14.2
2024-10-21T12:00:00,6,14.4
2024-10-21T13:00:00,7,14.4
2024-10-21T14:00:00,6.3,9.1
2024-10-21T15:00:00,6,3.6
2024-10-21T16:00:00,5,7.2
2024-10-21T17:00:00,5.6,5.5
2024-10-21T18:00:00,5,10.8
2024-10-21T19:00:00,5,7.2
2024-10-21T20:00:00,3,7.2
2024-10-21T21:00:00,3,7.2
2024-10-21T22:00:00,1,10.8
2024-10-21T23:00:00,2.8,7.1
2024-10-22T00:00:00,-1,14.4
2024-10-22T01:00:00,0,14.4
2024-10-22T02:00:00,1.8,5.2
2024-10-22T03:00:00,-2,10.8
2024-10-22T04:00:00,-3,10.8
2024-10-22T05:00:00,-0.3,5.4
2024-10-22T06:00:00,-4,10.8
2024-10-22T07:00:00,-1,10.8
2024-10-22T08:00:00,0.1,7.2
2024-10-22T09:00:00,2,7.2
2024-10-22T10:00:00,3,3.6
2024-10-22T11:00:00,4,3.7
2024-10-22T12:00:00,7,18
2024-10-22T13:00:00,8,10.8
2024-10-22T14:00:00,7.9,10.6
2024-10-22T15:00:00,8,18
2024-10-22T16:00:00,8,18
2024-10-22T17:00:00,7.4,8.8
2024-10-22T18:00:00,7,10.8
2024-10-22T19:00:00,7,10.8
2024-10-22T20:00:00,6,14.4
2024-10-22T21:00:00,6,14.4
2024-10-22T22:00:00,6,18
2024-10-22T23:00:00,6.3,12.4
2024-10-23T00:00:00,6,18
2024-10-23T01:00:00,6,21.6
2024-10-23T02:00:00,6.3,12.4
2024-10-23T03:00:00,6,18
2024-10-23T04:00:00,6,18
2024-10-23T05:00:00,5.9,12.6
2024-10-23T06:00:00,5,21.6
2024-10-23T07:00:00,6,21.6
2024-10-23T08:00:00,5,21.6
2024-10-23T09:00:00,4,25.2
2024-10-23T10:00:00,4,21.6
2024-10-23T11:00:00,4.8,17.9
2024-10-23T12:00:00,5,32.4
2024-10-23T13:00:00,5,25.2
2024-10-23T14:00:00,5.4,17.9
2024-10-23T15:00:00,6,25.2
2024-10-23T16:00:00,5,25.2
2024-10-23T17:00:00,5,16.1
2024-10-23T18:00:00,4,25.2
2024-10-23T19:00:00,4,21.6
2024-10-23T20:00:00,4,21.6
2024-10-23T21:00:00,3,21.6
2024-10-23T22:00:00,3,21.6
2024-10-23T23:00:00,2.2,10.7
2024-10-24T00:00:00,2,21.6
2024-10-24T01:00:00,3,21.6
2024-10-24T02:00:00,2.7,12.4
2024-10-24T03:00:00,4,25.2
2024-10-24T04:00:00,4,28.8
2024-10-24T05:00:00,2.5,14.2
2024-10-24T06:00:00,4,25.2
2024-10-24T07:00:00,4,28.8
2024-10-24T08:00:00,4,25.2
2024-10-24T09:00:00,4,28.8
2024-10-24T10:00:00,4,28.8
2024-10-24T11:00:00,4,17.9
2024-10-24T12:00:00,4,32.4
2024-10-24T13:00:00,4,28.8
2024-10-24T14:00:00,4.8,17.8
2024-10-24T15:00:00,5,21.6
2024-10-24T16:00:00,5,25.2
2024-10-24T17:00:00,4.9,17.7
2024-10-24T18:00:00,5,28.8
2024-10-24T19:00:00,5,32.4
2024-10-24T20:00:00,5,32.4
2024-10-24T21:00:00,5,32.4
2024-10-24T22:00:00,5,32.4
2024-10-24T23:00:00,4.9,21.4
2024-10-25T00:00:00,5,32.4
2024-10-25T01:00:00,5,32.4
2024-10-25T02:00:00,5.8,23.2
2024-10-25T03:00:00,6,39.6
2024-10-25T04:00:00,7,36
2024-10-25T05:00:00,6.6,24.9
2024-10-25T06:00:00,7,36
2024-10-25T07:00:00,7,32.4
2024-10-25T08:00:00,7,32.4
2024-10-25T09:00:00,8,36
2024-10-25T10:00:00,8,39.6
2024-10-25T11:00:00,7.7,23.3
2024-10-25T12:00:00,8,36
2024-10-25T13:00:00,8,36
2024-10-25T14:00:00,7.7,17.9
2024-10-25T15:00:00,8,21.6
2024-10-25T16:00:00,8,14.4
2024-10-25T17:00:00,6.9,8.9
2024-10-25T18:00:00,6,7.2
2024-10-25T19:00:00,5,3.6
2024-10-25T20:00:00,4.7,3.6
2024-10-25T21:00:00,3,7.2
2024-10-25T22:00:00,4,7.2
2024-10-25T23:00:00,4.1,3.6
2024-10-26T00:00:00,5,3.6
2024-10-26T01:00:00,4,3.6
2024-10-26T02:00:00,4.3,3.6
2024-10-26T03:00:00,5,7.2
2024-10-26T04:00:00,5,7.2
2024-10-26T05:00:00,5.7,3.7
2024-10-26T06:00:00,7,10.8
2024-10-26T07:00:00,7,10.8
2024-10-26T08:00:00,7,10.8
2024-10-26T09:00:00,7,14.4
2024-10-26T10:00:00,8,10.8
2024-10-26T11:00:00,8.5,12.5
2024-10-26T12:00:00,8,18
2024-10-26T13:00:00,9,21.6
2024-10-26T14:00:00,8.7,14.4
2024-10-26T15:00:00,8,18
2024-10-26T16:00:00,8,21.6
2024-10-26T17:00:00,8.1,16.1
2024-10-26T18:00:00,8,28.8
2024-10-26T19:00:00,7,28.8
2024-10-26T20:00:00,5,21.6
2024-10-26T21:00:00,5,18
2024-10-26T22:00:00,4,18
2024-10-26T23:00:00,3.6,12.4
2024-10-27T00:00:00,2,18
2024-10-27T01:00:00,2,18
2024-10-27T02:00:00,1,14.4
2024-10-27T03:00:00,1,14.4
2024-10-27T04:00:00,0,3.6
2024-10-27T05:00:00,1.1,3.7
2024-10-27T06:00:00,1,7.2
2024-10-27T07:00:00,2,7.2
2024-10-27T08:00:00,2,7.3
2024-10-27T09:00:00,3,14.4
2024-10-27T10:00:00,5,18
2024-10-27T11:00:00,6.5,10.8
2024-10-27T12:00:00,7,18
2024-10-27T13:00:00,7,18
2024-10-27T14:00:00,7.4,10.6
2024-10-27T15:00:00,7,10.8
2024-10-27T16:00:00,6,7.2
2024-10-27T17:00:00,5.9,7.1
2024-10-27T18:00:00,5,10.8
2024-10-27T19:00:00,4,18
2024-10-27T20:00:00,5,18
2024-10-27T21:00:00,5,18
2024-10-27T22:00:00,6,21.6
2024-10-27T23:00:00,6,12.6
2024-10-28T00:00:00,6,18
2024-10-28T01:00:00,7,25.2
2024-10-28T02:00:00,6.3,19.8
2024-10-28T03:00:00,4,25.2
2024-10-28T04:00:00,3,18
2024-10-28T05:00:00,4,12.4
2024-10-28T06:00:00,2,14.4
2024-10-28T07:00:00,2,7.2
2024-10-28T08:00:00,2,7.2
2024-10-28T09:00:00,2,10.8
2024-10-28T10:00:00,2,14.4
2024-10-28T11:00:00,2.5,17.8
2024-10-28T12:00:00,1,28.8
2024-10-28T13:00:00,1,36
2024-10-28T14:00:00,1.8,23.3
2024-10-28T15:00:00,2,32.4
2024-10-28T16:00:00,1,28.8
2024-10-28T17:00:00,1,16.2
2024-10-28T18:00:00,1,21.6
